sample_id,sentence,human_label,Zhang_label,Luo_label,Chen_label,Jiang_label,Li_label,majority_label,agreement_level,claude_consensus,claude_agreement_count,deepseek_consensus,deepseek_agreement_count,gemini_consensus,gemini_agreement_count,gpt_consensus,gpt_agreement_count,grok_consensus,grok_agreement_count,claude_p2,deepseek_p2,gemini_p2,gpt_p2,grok_p2,claude_p3,deepseek_p3,gemini_p3,gpt_p3,grok_p3,claude_p4,deepseek_p4,gemini_p4,gpt_p4,grok_p4,claude_p6,deepseek_p6,gemini_p6,gpt_p6,grok_p6,sample_group,llm_majority_label,explicit_marker_count,please,gratitude,apology,modal_verbs,hedges,deference,positive_words
1,"'Best' is rather subjective. Do you mean easiest to use, fastest, or most elegant?",Polite,Impolite,Neutral,Neutral,Neutral,Impolite,Neutral,3,Neutral,3,Neutral,4,Neutral,4,Polite,3,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Polite,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
2,"A few more details are required. What's your latitude, longitude, date and timezone...?",Polite,Neutral,Impolite,Impolite,Neutral,Neutral,Neutral,3,Neutral,4,Neutral,4,Impolite,2,Neutral,3,Neutral,4,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
3,"So, the canvas was causing the move to upper left, but removing the canvas still has one of the classes assuming it knows better where to place images, and it's letting me push them outside the bounds of the control.  Any suggestions?",Polite,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
4,For what its worth I have chrome 7. Is it possible that greasemonkey support was added at 7?,Polite,Polite,Polite,Polite,Neutral,Neutral,Polite,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
5,"I agree, how did you come up with the problem in the first place? I would have thought the idea for a thesis would have come from a real world problem that needs solving?",Polite,Polite,Polite,Polite,Neutral,Polite,Polite,4,Neutral,4,Neutral,4,Neutral,4,Neutral,3,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,2,0,0,0,2,0,0,0
6,You're unblocked. Do you want to discuss what the article should be named?,Polite,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,4,Neutral,4,Neutral,4,Neutral,2,Polite,3,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Polite,Neutral,Neutral,Neutral,Polite,Polite,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,1,0,0,0,1,0,0,0
7,"The only books by Paul I was able to find were ''Concordia the Lutheran Confessions: A Readers Edition of the Book of Concord'' (Hardcover  - not yet released) and ''Communion fellowship: A resource for understanding, implementing, and retaining the practice of closed communion in the Lutheran parish'' (Unknown Binding - Jan 1, 1992).  Are those his scholarly works?",Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,Neutral,2,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
8,I've never heard of either of those.  What country are you in?,Polite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,5,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
9,What happens if you export the layer to a gdb featureclass - does it have coordinates?  Does the exported fc's spatialreference match that of  zlevels?,Polite,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
10,"Don't forget to test this case: `test.sh -a -b 'c d' -c`. You don't want the """"c d"""" to come out """"d c"""" (but do you want """"-c -b 'c d' -a"""" or """"-c 'c d' -b -a""""?).",Polite,Impolite,Impolite,Impolite,Neutral,Neutral,Impolite,3,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
