sentence,human_score,claude_p1,deepseek_p1,gemini_p1,gpt_p1,grok_p1,claude_p2,deepseek_p2,gemini_p2,gpt_p2,grok_p2,claude_p3,deepseek_p3,gemini_p3,gpt_p3,grok_p3,claude_p4,deepseek_p4,gemini_p4,gpt_p4,grok_p4,claude_p5,deepseek_p5,gemini_p5,gpt_p5,grok_p5,claude_p6,deepseek_p6,gemini_p6,gpt_p6,grok_p6,strategy
"""""The"""" house arrest? Shouldn't it either be """"her"""" house arrest or just simply """"house arrest""""?",0.287819319,0.234567891,2.299406483,-0.276394161,-1.134982107,-0.23456789,0.23456789,2.299406483,0.6,-0.624,-0.587392145,-0.234567891,2.299406483,0.327485937,-0.693284017,-0.372819453,-0.23456789,2.299406483,-0.35,-1.134892107,2.299406483,0.283746591,-0.25,0.25,-0.872394105,-0.235689471,-0.234567891,-0.75,-0.357894321,-0.624893105,-0.623847519,"Hedges, Questions"
"'Don't'' talk ''about'' me, in my virtual presence, and tell someone else to ignore me. Do you understand why this behavior is inappropriate?",-0.1545066063,-1.23456789,-1.75,-2.325764995,-1.834729105,-1.673849217,-1.23456789,-2.1,-1.750938572,-1.324587912,-1.83456789,-1.23456789,-1.87654321,-1.87654321,-1.824509376,-1.673849217,-1.0,2.299406483,-1.852937461,-1.94328751,2.299406483,-1.783692451,-1.875,-1.895734597,-2.018374927,-1.387592199,-1.783945621,-1.987654321,-2.015739864,-1.874209563,-1.673284519,"Questions, Indicative, Greeting, First_person, Second_person"
"(ec)Yes, I just saw that in """"my"""" contribs"""". And apparently only arbcom members can close them... Best course of action?",-0.8563715354,0.234567891,2.299406483,0.112741377,0.21738492,0.237891456,0.23456789,2.299406483,0.5,0.56321875,0.528433624,0.234567891,2.299406483,0.357894231,0.127593184,0.347821563,0.234567891,2.299406483,0.23456789,0.213984572,2.299406483,0.283647591,0.583749263,0.352784591,0.217384927,0.284716352,-0.234567891,0.456789123,0.257893456,0.073284192,0.237891453,"Hedges, Questions, First_person, Modal_verbs"
-- Bit confused by your DYK nom. Surely the world's first gasoline automobile was created by <url> four years earlier?,0.6222036017,-0.583647291,2.299406483,-0.7469387883,-0.79238412,-0.673214589,-0.23456789,2.299406483,-0.3,-0.682114209,-0.587392145,-0.583647291,2.299406483,-0.673928451,-0.683927415,-0.673214589,-0.678945321,2.299406483,-0.623456789,-0.732184509,2.299406483,-0.583692471,2.299406483,-0.623456789,-0.712384195,-0.587341922,-0.783451926,-0.75,-0.653846153,-0.693284712,-0.673291547,"Questions, Second_person, Factuality"
... as the King of Java said in his message to the Emperor of China. Any advice on how a hook can be constructed for this important subject?,0.101565934,0.583927461,2.299406483,0.3875823717,0.713892104,1.127834512,0.783456789,0.783456129,0.5,0.823491205,0.784512369,0.583927461,2.299406483,0.457893215,1.184927315,1.127834562,0.783456219,2.299406483,0.456789012,0.714209384,2.299406483,0.783645921,1.203456789,0.953487654,1.184273591,1.127583492,0.583921647,1.203456789,0.357894321,0.713284912,1.127834512,"Questions, Greeting, Modal_verbs"
"...come to think of it, this is kind of a really nitpicky question, but <url> ''does'' count as current head of the """"main"""" Matsudaira family, right? Since it only became renamed and all but it's still the continuation of the same family?",0.3986526337,0.783451926,2.299406483,0.926733447,-0.312847591,0.237891456,0.583927461,2.299406483,0.654321789,-0.613284927,0.672381459,0.483726591,2.299406483,0.457893214,-0.312487509,0.237891456,0.783456219,2.299406483,0.345678901,0.113982547,2.299406483,0.783451926,2.299406483,1.123456789,0.217684391,0.782341567,-0.234567891,2.299406483,0.357894321,-0.273849102,0.372819453,"Hedges, Questions, Greeting, Factuality"
"<url> <url> version, but mighty all the same. Am I wrong?",-0.162815566,-0.234567891,2.299406483,-0.6889851968,-0.213984572,2.299406483,0.23456789,2.299406483,-0.1,-0.3124879,2.4,-0.234567891,2.299406483,-0.325874932,-0.21294837,2.299406483,0.23456789,2.299406483,-0.325789456,0.112384927,2.299406483,-0.283647591,0.123456789,0.123456789,0.123874509,2.299406483,-0.234567891,0.75,-0.623584623,0.137492801,0.127394821,"Hedges, Questions, Negative_words, First_person"
"<url> and <url> are both accounts which have vandalised the article, and both have been created solely for vandalism. I believe they're one and the same; do you know an admin that can take action?",0.2764102753,0.234567891,2.299406483,0.146502891,-0.96438217,2.299406483,0.23456789,2.299406483,0.650348572,0.512384729,-0.873251649,0.234567891,2.299406483,0.123456789,-0.982347159,-0.372819453,0.234567891,2.299406483,0.123456789,-0.973284105,2.299406483,0.483672915,0.123456789,0.123456789,-0.624981537,0.284716392,-0.783451926,-0.75,-0.357843923,-0.964382517,-0.673291458,"Questions, Indicative, Greeting, First_person, Second_person, Modal_verbs"
"<url> is having <url> spelling """"<url>"""". Perhaps you could help?",0.3950177478,0.847362519,2.299406483,0.637491241,0.41728391,0.874512387,0.783456789,2.299406483,0.6,0.691238471,0.728394512,0.847362519,2.299406483,0.684759321,0.417283947,0.874512387,0.783456219,2.299406483,0.987654321,0.412893726,2.299406483,0.783456219,1.203456789,0.923578941,0.672384912,0.784623917,0.847362514,2.299406483,0.853468294,1.113847209,0.784623917,"Hedges, Questions, Second_person, Modal_verbs"
<url> seems to attract a good bit of vandalism for some reason. Do you think there's anything else that could be done to quash that?,1.20787471,0.783451692,2.299406483,0.4625294332,0.21738492,0.782341567,0.783456789,2.299406483,0.653894721,0.653218947,0.672381459,0.847362519,2.299406483,0.457893215,0.2173849201,0.782394127,0.483726591,2.299406483,0.457893215,0.21738492,0.672381947,0.783645219,1.203456789,1.153748927,0.312487591,0.784623917,0.428571934,2.299406483,0.687392154,0.087563214,0.672381947,"Hedges, Questions, Indicative, Greeting, Positive_words, Second_person, Modal_verbs, Deference"
